Methane,CH4,1500,4.217,1.702,9.081,-2.164,,,,,
Ethane,C2H6,1500,6.369,1.131,19.225,-5.561,,,,,
Propane,C3H8,1500,9.011,1.213,28.785,-8.824,,,,,
n-Butane,C4H10,1500,11.928,1.935,36.915,-11.402,,,,,
iso-Butane,C4H10,1500,11.901,1.677,37.853,-11.945,,,,,
n-Pentane,C5H12,1500,14.731,2.464,45.351,-14.111,,,,,
n-Hexane,C6H14,1500,17.550,3.025,53.722,-16.791,,,,,
n-Heptane,C7H16,1500,20.361,3.570,62.127,-19.486,,,,,
n-Octane,C8H18,1500,23.174,4.108,70.567,-22.208,,,,,
Ethylene,C2H4,1500,5.325,1.424,14.394,-4.392,,,,,
Propylene,C3H6,1500,7.792,1.637,22.706,-6.915,,,,,
1-Butene,C4H8,1500,10.520,1.967,31.630,-9.873,,,,,
1-Pentene,C5H10,1500,13.437,2.691,39.753,-12.447,,,,,
1-Hexene,C6H12,1500,16.240,3.220,48.189,-15.157,,,,,
1-Heptene,C7H14,1500,19.053,3.768,56.588,-17.847,,,,,
1-Octene,C8H16,1500,21.868,4.324,64.960,-20.521,,,,,
Acetaldehyde,C2H4O,1000,6.506,1.693,17.978,-6.158,,,,,
Acetylene,C2H2,1500,5.253,6.132,1.952,,-1.299,,,,
Benzene,C6H6,1500,10.259,-0.206,39.064,-13.301,,,,,
"1,3-Butadiene",C4H6,1500,10.720,2.734,26.786,-8.882,,,,,
Cyclohexane,C6H12,1500,13.121,-3.876,63.249,-20.928,,,,,
Ethanol,C2H6O,1500,8.948,3.518,20.001,-6.002,,,,,
Ethylbenzene,C8H10,1500,15.993,1.124,55.380,-18.476,,,,,
Ethylene oxide,C2H4O,1000,5.784,-0.385,23.463,-9.296,,,,,
Formaldehyde,CH2O,1500,4.191,2.264,7.022,-1.877,,,,,
Methanol,CH4O,1500,5.547,2.211,12.216,-3.450,,,,,
Styrene,C8H8,1500,15.534,2.050,50.192,-16.662,,,,,
Toluene,C7H8,1500,12.922,0.290,47.052,-15.716,,,,,
Air,,2000,3.509,3.355,0.575,,-0.016,,,,
Ammonia,NH3,1800,4.269,3.578,3.020,,-0.186,,,,
Bromine,Br2,3000,4.337,4.493,0.056,,-0.154,,,,
Carbon monoxide,CO,2500,3.507,3.376,0.557,,-0.031,,,,
Carbon dioxide,CO2,2000,4.467,5.457,1.045,,-1.157,,,,
Carbon disulfide,CS2,1800,5.532,6.311,0.805,,-0.906,,,,
Chlorine,Cl2,3000,4.082,4.442,0.089,,-0.344,,,,
Hydrogen,H2,3000,3.468,3.249,0.422,,0.083,,,,
Hydrogen sulfide,H2S,2300,4.114,3.931,1.490,,-0.232,,,,
Hydrogen chloride,HCl,2000,3.512,3.156,0.623,,0.151,,,,
Hydrogen cyanide,HCN,2500,4.326,4.736,1.359,,-0.725,,,,
Nitrogen,N2,2000,3.502,3.280,0.593,,0.040,,,,
Nitrous oxide,N2O,2000,4.646,5.328,1.214,,-0.928,,,,
Nitric oxide,NO,2000,3.590,3.387,0.629,,0.014,,,,
Nitrogen dioxide,NO2,2000,4.447,4.982,1.195,,-0.792,,,,
Dinitrogen tetroxide,N2O4,2000,9.198,11.660,2.257,,-2.787,,,,
Oxygen,O2,2000,3.535,3.639,0.506,,-0.227,,,,
Sulfur dioxide,SO2,2000,4.796,5.699,0.801,,-1.015,,,,
Sulfur trioxide,SO3,2000,6.094,8.060,1.056,,-2.028,,,,
Water,H2O,2000,4.038,3.470,1.450,,0.121,,,,
